# this list is partitioned you can remove any unwanted partition and rerun the script unroute then route
#discord ips -------------------------
34.0.0.0	255.255.0.0
66.22.220.89 255.255.255.255
66.22.217.68 255.255.255.255
66.22.216.129 255.255.255.255
66.22.217.183 255.255.255.255
66.22.199.45 255.255.255.255
66.22.222.126 255.255.255.255
66.22.214.153 255.255.255.255
66.22.196.51 255.255.255.255
66.22.221.97 255.255.255.255
66.22.219.88 255.255.255.255
66.22.202.69 255.255.255.255
66.22.208.9 255.255.255.255
66.22.246.83 255.255.255.255
66.22.217.32 255.255.255.255
66.22.246.23 255.255.255.255
66.22.223.117 255.255.255.255
66.22.217.175 255.255.255.255
66.22.246.78 255.255.255.255
66.22.244.133 255.255.255.255
66.22.221.30 255.255.255.255
66.22.233.33 255.255.255.255
66.22.220.85 255.255.255.255
66.22.221.48 255.255.255.255
66.22.238.157 255.255.255.255
66.22.243.139 255.255.255.255
66.22.216.8 255.255.255.255
66.22.219.10 255.255.255.255
66.22.244.7 255.255.255.255
66.22.210.10 255.255.255.255
66.22.199.11 255.255.255.255
66.22.234.139 255.255.255.255
66.22.210.8 255.255.255.255
66.22.198.99 255.255.255.255
66.22.212.130 255.255.255.255
66.22.237.17 255.255.255.255
66.22.220.86 255.255.255.255
66.22.246.134 255.255.255.255
66.22.217.152 255.255.255.255
66.22.244.11 255.255.255.255
66.22.227.67 255.255.255.255
66.22.216.189 255.255.255.255
66.22.198.174 255.255.255.255
66.22.197.27 255.255.255.255
66.22.196.53 255.255.255.255
66.22.223.111 255.255.255.255
66.22.216.192 255.255.255.255
66.22.210.18 255.255.255.255
66.22.200.39 255.255.255.255
66.22.244.43 255.255.255.255
66.22.217.46 255.255.255.255
66.22.221.87 255.255.255.255
66.22.216.112 255.255.255.255
66.22.220.79 255.255.255.255
66.22.198.50 255.255.255.255
66.22.227.90 255.255.255.255
66.22.246.137 255.255.255.255
35.215.123.227 255.255.255.255
35.213.115.99 255.255.255.255
35.213.217.196 255.255.255.255
35.215.120.129 255.255.255.255
66.22.246.154 255.255.255.255
66.22.248.37 255.255.255.255
66.22.246.18 255.255.255.255
66.22.234.157 255.255.255.255
66.22.217.53 255.255.255.255
66.22.221.9 255.255.255.255
66.22.217.108 255.255.255.255
66.22.248.14 255.255.255.255
66.22.226.76 255.255.255.255
66.22.227.73 255.255.255.255
66.22.235.27 255.255.255.255
66.22.198.56 255.255.255.255
66.22.231.167 255.255.255.255
66.22.218.46 255.255.255.255
66.22.196.105 255.255.255.255
66.22.237.13 255.255.255.255
66.22.216.37 255.255.255.255
66.22.219.63 255.255.255.255
66.22.243.51 255.255.255.255
66.22.216.57 255.255.255.255
66.22.241.5 255.255.255.255
66.22.243.45 255.255.255.255
66.22.217.125 255.255.255.255
66.22.217.115 255.255.255.255
66.22.202.66 255.255.255.255
66.22.216.108 255.255.255.255
66.22.221.107 255.255.255.255
66.22.238.13 255.255.255.255
66.22.220.91 255.255.255.255
66.22.246.193 255.255.255.255
66.22.235.7 255.255.255.255
66.22.197.138 255.255.255.255
66.22.221.63 255.255.255.255
66.22.219.101 255.255.255.255
66.22.198.131 255.255.255.255
66.22.206.15 255.255.255.255
66.22.244.152 255.255.255.255
66.22.216.184 255.255.255.255
66.22.248.18 255.255.255.255
66.22.219.77 255.255.255.255
66.22.227.68 255.255.255.255
66.22.216.20 255.255.255.255
66.22.217.198 255.255.255.255
66.22.237.150 255.255.255.255
66.22.218.64 255.255.255.255
66.22.246.210 255.255.255.255
66.22.210.22 255.255.255.255
66.22.247.5 255.255.255.255
66.22.247.4 255.255.255.255
66.22.226.23 255.255.255.255
66.22.226.97 255.255.255.255
66.22.246.55 255.255.255.255
66.22.246.68 255.255.255.255
66.22.222.128 255.255.255.255
66.22.208.5 255.255.255.255
66.22.206.16 255.255.255.255
66.22.216.173 255.255.255.255
66.22.246.82 255.255.255.255
66.22.246.224 255.255.255.255
66.22.221.39 255.255.255.255
66.22.246.11 255.255.255.255
66.22.198.125 255.255.255.255
66.22.240.137 255.255.255.255
66.22.202.46 255.255.255.255
66.22.221.114 255.255.255.255
66.22.247.21 255.255.255.255
66.22.199.230 255.255.255.255
66.22.196.160 255.255.255.255
66.22.196.27 255.255.255.255
66.22.196.20 255.255.255.255
66.22.220.81 255.255.255.255
66.22.217.92 255.255.255.255
66.22.217.181 255.255.255.255
66.22.246.67 255.255.255.255
66.22.234.16 255.255.255.255
66.22.197.131 255.255.255.255
66.22.248.10 255.255.255.255
66.22.233.46 255.255.255.255
66.22.246.207 255.255.255.255
66.22.238.16 255.255.255.255
66.22.198.74 255.255.255.255
66.22.230.136 255.255.255.255
66.22.219.32 255.255.255.255
66.22.248.13 255.255.255.255
66.22.246.71 255.255.255.255
66.22.198.138 255.255.255.255
66.22.247.141 255.255.255.255
66.22.241.4 255.255.255.255
66.22.220.112 255.255.255.255
66.22.233.174 255.255.255.255
66.22.204.177 255.255.255.255
66.22.217.188 255.255.255.255
66.22.220.105 255.255.255.255
66.22.217.153 255.255.255.255
66.22.230.135 255.255.255.255
66.22.217.98 255.255.255.255
66.22.196.29 255.255.255.255
66.22.221.106 255.255.255.255
66.22.216.90 255.255.255.255
66.22.197.67 255.255.255.255
66.22.217.4 255.255.255.255
66.22.217.199 255.255.255.255
66.22.235.8 255.255.255.255
66.22.216.99 255.255.255.255
66.22.198.122 255.255.255.255
66.22.227.100 255.255.255.255
66.22.208.14 255.255.255.255
66.22.221.122 255.255.255.255
66.22.216.29 255.255.255.255
66.22.241.9 255.255.255.255
66.22.196.102 255.255.255.255
66.22.216.72 255.255.255.255
66.22.246.10 255.255.255.255
66.22.221.76 255.255.255.255
66.22.241.138 255.255.255.255
66.22.246.76 255.255.255.255
66.22.198.224 255.255.255.255
66.22.247.29 255.255.255.255
66.22.198.20 255.255.255.255
66.22.222.134 255.255.255.255
66.22.246.69 255.255.255.255
66.22.202.38 255.255.255.255
66.22.226.59 255.255.255.255
66.22.221.68 255.255.255.255
66.22.202.67 255.255.255.255
66.22.220.124 255.255.255.255
66.22.247.26 255.255.255.255
66.22.231.20 255.255.255.255
66.22.218.55 255.255.255.255
66.22.217.78 255.255.255.255
66.22.217.165 255.255.255.255
66.22.216.121 255.255.255.255
66.22.196.179 255.255.255.255
66.22.198.201 255.255.255.255
35.215.170.6 255.255.255.255
35.213.95.145 255.255.255.255
66.22.198.140 255.255.255.255
66.22.218.90 255.255.255.255
66.22.217.49 255.255.255.255
66.22.235.137 255.255.255.255
66.22.246.219 255.255.255.255
66.22.246.20 255.255.255.255
66.22.216.179 255.255.255.255
66.22.219.23 255.255.255.255
66.22.202.53 255.255.255.255
66.22.219.86 255.255.255.255
66.22.231.15 255.255.255.255
66.22.246.48 255.255.255.255
66.22.199.243 255.255.255.255
66.22.220.100 255.255.255.255
66.22.217.33 255.255.255.255
66.22.227.64 255.255.255.255
66.22.210.17 255.255.255.255
66.22.231.18 255.255.255.255
66.22.247.134 255.255.255.255
66.22.221.104 255.255.255.255
66.22.246.189 255.255.255.255
66.22.230.153 255.255.255.255
66.22.196.131 255.255.255.255
66.22.221.54 255.255.255.255
66.22.223.130 255.255.255.255
66.22.247.146 255.255.255.255
66.22.221.100 255.255.255.255
66.22.196.33 255.255.255.255
66.22.218.5 255.255.255.255
66.22.196.77 255.255.255.255
66.22.237.10 255.255.255.255
66.22.208.8 255.255.255.255
66.22.247.153 255.255.255.255
66.22.221.23 255.255.255.255
66.22.196.122 255.255.255.255
66.22.217.155 255.255.255.255
66.22.246.167 255.255.255.255
66.22.216.28 255.255.255.255
66.22.246.223 255.255.255.255
66.22.246.199 255.255.255.255
66.22.238.142 255.255.255.255
66.22.197.36 255.255.255.255
66.22.199.17 255.255.255.255
66.22.196.74 255.255.255.255
66.22.247.147 255.255.255.255
66.22.219.53 255.255.255.255
66.22.232.135 255.255.255.255
66.22.237.141 255.255.255.255
66.22.231.217 255.255.255.255
66.22.244.141 255.255.255.255
66.22.217.130 255.255.255.255
66.22.217.8 255.255.255.255
66.22.198.82 255.255.255.255
66.22.217.38 255.255.255.255
66.22.196.140 255.255.255.255
66.22.234.142 255.255.255.255
66.22.200.56 255.255.255.255
66.22.217.25 255.255.255.255
66.22.218.96 255.255.255.255
66.22.196.176 255.255.255.255
66.22.199.234 255.255.255.255
66.22.226.50 255.255.255.255
66.22.234.146 255.255.255.255
66.22.246.79 255.255.255.255
66.22.230.148 255.255.255.255
66.22.237.151 255.255.255.255
66.22.243.52 255.255.255.255
66.22.221.119 255.255.255.255
66.22.247.17 255.255.255.255
66.22.231.55 255.255.255.255
66.22.217.48 255.255.255.255
66.22.212.140 255.255.255.255
66.22.217.157 255.255.255.255
66.22.235.22 255.255.255.255
66.22.237.138 255.255.255.255
66.22.198.133 255.255.255.255
66.22.199.35 255.255.255.255
66.22.216.11 255.255.255.255
66.22.202.47 255.255.255.255
66.22.217.77 255.255.255.255
66.22.247.12 255.255.255.255
66.22.216.148 255.255.255.255
66.22.197.118 255.255.255.255
